title,image_url,ingredients,nutrition_kcal,portions,rating,source_url,source_website,total_time,diet,keywords
"Mumie auf Toast","https://images.lecker.de/,id=34bdc1c0,b=lecker,w=610,cg=c.jpg","[{""amount"":""4"",""name"":""Toastbrot"",""unit"":""Scheiben""},{""amount"":""4"",""name"":""Ketchup"",""unit"":""EL""},{""amount"":""3"",""name"":""Käse (z. B. Goudakäse)"",""unit"":""Scheiben""},{""amount"":""8"",""name"":""Olivenringe"",""unit"":""""}]","[]",4,"{""ratingCount"":6,""ratingValue"":5}","https://www.lecker.de/mumie-auf-toast-75300.html","lecker.de",600,"[]","[""Snacks/Party"",""herzhaft"",""würzig"",""Ofengerichte"",""ganz einfach""]"
"Käse-Spieße mit Oliven und Kirschtomaten zu Senfdip (Fußball-Snack)","https://images.lecker.de/,id=3def6d8c,b=lecker,w=610,cg=c.jpg","[{""amount"":""400"",""name"":""Bergkäse"",""unit"":""g""},{""amount"":""12"",""name"":""Kirschtomaten"",""unit"":""""},{""amount"":""24"",""name"":""entsteinte grüne Oliven"",""unit"":""""},{""amount"":"""",""name"":""gemahlener bunter Pfeffer"",""unit"":""""},{""amount"":""75"",""name"":""Schmand"",""unit"":""g""},{""amount"":""1"",""name"":""Honig"",""unit"":""EL""},{""amount"":""2"",""name"":""grober Senf"",""unit"":""EL""},{""amount"":"""",""name"":""Salz"",""unit"":""""},{""amount"":""12"",""name"":""Holzspieße"",""unit"":""""}]","{""kcal"":170}",12,"{""ratingCount"":6,""ratingValue"":5}","https://www.lecker.de/kaese-spiesse-mit-oliven-und-kirschtomaten-zu-senfdip-fussball-snack-21443.html","lecker.de",900,"[""vegetarian""]","[""vegetarisch""]"
"Spaghetti mit Paprika-Erdnuss-Soße","https://images.lecker.de/,id=7f18a942,b=lecker,w=610,cg=c.jpg","[{""amount"":"""",""name"":""Öl für das Backblech"",""unit"":""""},{""amount"":""3"",""name"":""Zwiebeln"",""unit"":""""},{""amount"":""3"",""name"":""große rote Spitzpaprika"",""unit"":""""},{""amount"":""100"",""name"":""getrocknete Tomaten"",""unit"":""g""},{""amount"":""50"",""name"":""Rucola"",""unit"":""g""},{""amount"":""50"",""name"":""Parmesan oder vegetarischer Hartkäse (Stück)"",""unit"":""g""},{""amount"":""400"",""name"":""Dinkelspaghetti"",""unit"":""g""},{""amount"":"""",""name"":""Salz"",""unit"":""""},{""amount"":"""",""name"":""Kurkuma"",""unit"":""""},{""amount"":""3"",""name"":""Erdnusscreme"",""unit"":""EL""},{""amount"":""2-3"",""name"":""Harissa (arabische Gewürzpaste)"",""unit"":""TL""}]","{""kcal"":600}",4,"{""ratingCount"":8,""ratingValue"":4.9}","https://www.lecker.de/spaghetti-mit-paprika-erdnuss-sosse-69471.html","lecker.de",3600,"[""vegetarian""]","[""vegetarisch"",""Sonstiges"",""frisch"",""Pizza & Pasta"",""ganz einfach""]"
"Parmesanmuffins in Bresaolakörbchen","https://images.lecker.de/,id=aa9084b3,b=lecker,w=610,cg=c.jpg","[{""amount"":"""",""name"":""etwas + 200 g Butter"",""unit"":""""},{""amount"":""1"",""name"":""Zwiebel"",""unit"":""""},{""amount"":""4"",""name"":""Knoblauchzehen"",""unit"":""""},{""amount"":""50"",""name"":""Pinienkerne"",""unit"":""g""},{""amount"":""80"",""name"":""Parmesan (Stück)"",""unit"":""g""},{""amount"":""1"",""name"":""glatte Petersilie"",""unit"":""Bund""},{""amount"":""350"",""name"":""Kastenweißbrot"",""unit"":""g""},{""amount"":""2"",""name"":""Eier (Gr. M)"",""unit"":""""},{""amount"":"""",""name"":""Salz, Pfeffer"",""unit"":""""},{""amount"":""48"",""name"":""dünne Scheiben Bresaola (italienischer luftgetrockneter Rinderschinken; ersatzweise Parmaschinken)"",""unit"":""""}]","{""kcal"":90}",48,"{""ratingCount"":8,""ratingValue"":4.9}","https://www.lecker.de/parmesanmuffins-bresaolakoerbchen-44248.html","lecker.de",6300,"[]","[""Vorspeise"",""herzhaft"",""Salate & Snacks"",""ganz einfach"",""Fastfood"",""Gemüse"",""preiswert"",""Party""]"
"French-Toast-Rolls","https://images.lecker.de/,id=82814d3c,b=lecker,w=610,cg=c.jpg","[{""amount"":""2"",""name"":""Erdbeeren"",""unit"":""""},{""amount"":""4"",""name"":""Minischokoküsse"",""unit"":""""},{""amount"":""2"",""name"":""Sandwichtoast"",""unit"":""Scheiben""},{""amount"":""1"",""name"":""Ei (Gr. M)"",""unit"":""""},{""amount"":""2"",""name"":""Milch"",""unit"":""EL""},{""amount"":""30"",""name"":""Butterschmalz"",""unit"":""g""},{""amount"":""1"",""name"":""Zimt"",""unit"":""TL""},{""amount"":""1"",""name"":""Zucker"",""unit"":""TL""}]","{""kcal"":370}",2,"{""ratingCount"":12,""ratingValue"":4.8}","https://www.lecker.de/french-toast-rolls-33056.html","lecker.de",900,"[""vegetarian""]","[""vegetarisch"",""Kuchen & Gebäck"",""Desserts & Backen"",""einfach""]"
"Grünkohl mit vegetarischen Pinkel","https://images.eatsmarter.de/sites/default/files/styles/max_size/public/gruenkohl-mit-vegetarischen-pinkel-668125.jpg","[{""amount"":""1"",""name"":""Grünkohl"",""unit"":""kg""},{""amount"":""4"",""name"":""  Zwiebeln"",""unit"":""""},{""amount"":""120"",""name"":""Butterschmalz"",""unit"":""g""},{""amount"":""100"",""name"":""Buchweizengrütze"",""unit"":""g""},{""amount"":"""",""name"":""Salz"",""unit"":""""},{""amount"":"""",""name"":""Pfeffer"",""unit"":""""},{""amount"":""400"",""name"":""Gemüsebrühe"",""unit"":""ml""},{""amount"":""750"",""name"":""kleine, festkochende Kartoffeln (z.B. Drillinge)"",""unit"":""g""},{""amount"":""1"",""name"":""Rapsöl"",""unit"":""EL""},{""amount"":""1"",""name"":""Rohrohrzucker"",""unit"":""EL""},{""amount"":""2"",""name"":""zarte Haferflocken"",""unit"":""EL""},{""amount"":"""",""name"":""gemahlener Piment"",""unit"":""""}]","{""kcal"":661}",4,"{""ratingCount"":11,""ratingValue"":4.8}","https://eatsmarter.de/rezepte/gruenkohl-mit-vegetarischen-pinkel","eatsmarter.de",4500,"[""vegetarian""]","[]"
"Gemüsecurry mit wachsweichen Eiern","https://images.lecker.de/,id=a0f1ec2b,b=lecker,w=610,cg=c.jpg","[{""amount"":""1"",""name"":""große Zwiebel"",""unit"":""""},{""amount"":""750"",""name"":""Kartoffeln"",""unit"":""g""},{""amount"":""1"",""name"":""Öl"",""unit"":""EL""},{""amount"":""1-2"",""name"":""gelbe Currypaste"",""unit"":""TL""},{""amount"":""1"",""name"":""Kokosmilch"",""unit"":""Dose (400 ml)""},{""amount"":""1"",""name"":""stückige Tomaten"",""unit"":""Dose(n) (à 400 g)""},{""amount"":""3-4"",""name"":""Sojasoße"",""unit"":""EL""},{""amount"":""6"",""name"":""Eier"",""unit"":""""},{""amount"":""1"",""name"":""Koriander"",""unit"":""Bund""},{""amount"":""2"",""name"":""Mangochutney"",""unit"":""EL""}]","{""kcal"":510}",4,"{""ratingCount"":7,""ratingValue"":4.9}","https://www.lecker.de/gemuesecurry-mit-wachsweichen-eiern-70729.html","lecker.de",2700,"[""vegetarian""]","[""vegetarisch"",""Sonstiges"",""herzhaft"",""exotisch"",""ganz einfach""]"
"Cremiger Kartoffelsalat mit Apfel-Gurken-Salsa","https://images.lecker.de/,id=35493003,b=lecker,w=610,cg=c.jpg","[{""amount"":""1,5"",""name"":""kleine festkochende Kartoffeln"",""unit"":""kg""},{""amount"":""1"",""name"":""Zwiebel"",""unit"":""""},{""amount"":""100"",""name"":""Salatcreme"",""unit"":""g""},{""amount"":""150"",""name"":""Vollmilchjoghurt"",""unit"":""g""},{""amount"":""2"",""name"":""Hefeflocken"",""unit"":""EL""},{""amount"":""4"",""name"":""Weißweinessig"",""unit"":""EL""},{""amount"":"""",""name"":""Zucker, Salz, Pfeffer"",""unit"":""""},{""amount"":""200"",""name"":""Gewürzgurken"",""unit"":""g""},{""amount"":""5"",""name"":""Sud aus dem Gewürzgurkenglas"",""unit"":""EL""},{""amount"":""5"",""name"":""Lauchzwiebeln"",""unit"":""""},{""amount"":""1/2"",""name"":""Petersilie"",""unit"":""Bund""},{""amount"":""1"",""name"":""Schnittlauch"",""unit"":""Bund""},{""amount"":""1"",""name"":""säuerlicher Apfel (à ca. 200 g)"",""unit"":""""}]","{""kcal"":400}",4,"{""ratingCount"":7,""ratingValue"":4.9}","https://www.lecker.de/cremiger-kartoffelsalat-mit-apfel-gurken-salsa-72998.html","lecker.de",2700,"[""vegetarian""]","[""vegetarisch"",""Snacks/Party"",""herzhaft"",""würzig"",""ganz einfach""]"
"Ofentomaten caprese","https://images.lecker.de/,id=38845a9a,b=lecker,w=610,cg=c.jpg","[{""amount"":"""",""name"":""etwas + 3 EL Olivenöl"",""unit"":""""},{""amount"":""8"",""name"":""Tomaten (à ca. 100 g)"",""unit"":""""},{""amount"":""250"",""name"":""Mozzarella"",""unit"":""g""},{""amount"":""5"",""name"":""Basilikum"",""unit"":""Stiel(e)""},{""amount"":""6"",""name"":""Balsamico-Essig"",""unit"":""EL""},{""amount"":""1"",""name"":""Honig"",""unit"":""EL""},{""amount"":"""",""name"":""Salz, Pfeffer"",""unit"":""""},{""amount"":""3"",""name"":""Pesto (Glas)"",""unit"":""TL""}]","{""kcal"":310}",4,"{""ratingCount"":7,""ratingValue"":4.9}","https://www.lecker.de/ofentomaten-caprese-23076.html","lecker.de",2100,"[""vegetarian""]","[""vegetarisch"",""ganz einfach""]"
"Eintopf mit Kohlrabi und geräucherter Putenbrust","https://www.daskochrezept.de/sites/daskochrezept.de/files/styles/facebook/public/2020-01/kohlrabi-eintopf.jpg","[{""amount"":""1.5"",""name"":""Kohlrabi (geschält und in Würfel geschnitten)"",""unit"":""kg""},{""amount"":""2"",""name"":""Zwiebel (gewürfelt)"",""unit"":""""},{""amount"":""80"",""name"":""Butter"",""unit"":""g""},{""amount"":""1"",""name"":""Weißwein eingelegt (trocken)"",""unit"":""Glas""},{""amount"":""1"",""name"":""Gemüsebrühe"",""unit"":""Liter""},{""amount"":""4"",""name"":""Bch. Sahne"",""unit"":""""},{""amount"":""etwas"",""name"":""Salz (feines Bärlauchsalz)"",""unit"":""""},{""amount"":""etwas"",""name"":""Pfeffer (frisch gemahlen"",""unit"":""""},{""amount"":"""",""name"":""weiß)"",""unit"":""""},{""amount"":""etwas"",""name"":""Muskatnuss (frisch gerieben)"",""unit"":""""},{""amount"":""500"",""name"":""Putenbrust (geräuchert"",""unit"":""g""},{""amount"":"""",""name"":""gewürfelt)"",""unit"":""""},{""amount"":""3"",""name"":""Senf (scharf)"",""unit"":""EL""},{""amount"":""etwas"",""name"":""Limonensaft"",""unit"":""""},{""amount"":""6"",""name"":""Schnittlauch (fein geschnitten"",""unit"":""EL""},{""amount"":"""",""name"":""in Ringe geschnitten)"",""unit"":""""},{""amount"":""5"",""name"":""Kohlrabiblatt (fein gehackt)"",""unit"":""""}]","{}",8,"{""ratingCount"":16,""ratingValue"":5}","https://www.daskochrezept.de/rezepte/eintopf-mit-kohlrabi-und-geraeucherter-putenbrust","daskochrezept.de",3600,"[]","[]"
